,Creator,start_date,Employee,end_date
0,Jenny Harrison,2019-02-26 10:30:55,Adriana Coleman,2019-03-22 10:30:55
1,Patti Martinez,2019-02-28 21:49:39,Rose Churchill,2019-03-24 21:49:39
2,Henry Smith,2019-03-05 00:56:15,Adriana Coleman,2019-03-27 00:56:15
3,Dennis Lawrence,2019-03-09 04:38:27,Rose Churchill,2019-04-02 04:38:27
4,Monica Marchetti,2019-03-13 08:47:22,Rose Churchill,2019-04-05 08:47:22
5,Jane Smith,2019-03-15 06:16:16,Rose Churchill,2019-04-07 06:16:16
6,Anthony Wright,2019-03-19 12:44:24,Adriana Coleman,2019-04-11 12:44:24
7,Stephen Bartley,2019-03-29 00:19:23,Rose Churchill,2019-04-21 00:19:23
8,Irma Kieff,2019-03-29 09:33:40,Rose Churchill,2019-04-19 09:33:40
9,Douglas Fonceca,2019-03-31 22:41:12,Rose Churchill,2019-04-22 22:41:12
10,James Wilson,2019-04-02 13:13:06,John Gillispie,2019-04-25 13:13:06
11,Carolyn Morello,2019-04-03 13:15:17,Adriana Coleman,2019-04-24 13:15:17
12,Joseph Abraham,2019-04-04 08:42:22,John Gillispie,2019-04-27 08:42:22
13,David Terry,2019-04-05 07:34:44,Adriana Coleman,2019-04-28 07:34:44
14,Joseph Hughes,2019-04-09 03:50:15,John Gillispie,2019-05-01 03:50:15
15,Russell Palermo,2019-04-11 04:00:10,John Gillispie,2019-05-03 04:00:10
16,Mark Cowell,2019-04-12 20:47:28,Rose Churchill,2019-05-03 20:47:28
17,Davida Mattera,2019-04-19 13:45:28,John Gillispie,2019-05-11 13:45:28
18,Tom Lambert,2019-04-30 16:57:35,Rose Churchill,2019-05-24 16:57:35
19,Willie Mallon,2019-05-01 07:52:29,John Gillispie,2019-05-25 07:52:29
20,Jennifer Nikas,2019-05-02 03:11:07,John Gillispie,2019-05-26 03:11:07
21,Willie Freeman,2019-05-07 13:00:17,Adriana Coleman,2019-05-30 13:00:17
22,Nathan Pullen,2019-05-10 05:08:14,Rose Churchill,2019-06-02 05:08:14
23,Pauline Coburn,2019-05-10 20:41:07,Adriana Coleman,2019-05-31 20:41:07
24,James Duryea,2019-05-11 17:26:11,Adriana Coleman,2019-06-04 17:26:11
25,Sally Williamson,2019-05-13 15:25:18,Rose Churchill,2019-06-05 15:25:18
26,Nancy Yu,2019-05-17 07:00:48,John Gillispie,2019-06-09 07:00:48
27,Betty Espinosa,2019-05-21 13:40:30,John Gillispie,2019-06-11 13:40:30
28,Wilbert Parker,2019-05-22 04:45:16,John Gillispie,2019-06-15 04:45:16
29,Nancy Woods,2019-05-25 07:58:21,John Gillispie,2019-06-16 07:58:21
30,Herbert Schuetz,2019-05-26 10:50:02,Rose Churchill,2019-06-19 10:50:02
31,Margaret White,2019-05-29 01:28:16,Adriana Coleman,2019-06-20 01:28:16
32,Sheila Smith,2019-05-30 10:22:25,Rose Churchill,2019-06-22 10:22:25
33,Alberta Tarver,2019-05-31 12:59:59,John Gillispie,2019-06-22 12:59:59
34,Bret Mackay,2019-05-31 15:38:11,Rose Churchill,2019-06-24 15:38:11
35,Robert Prosser,2019-05-31 23:39:50,Adriana Coleman,2019-06-23 23:39:50
36,Ricky Deckman,2019-06-01 09:21:22,Adriana Coleman,2019-06-23 09:21:22
37,James Bridges,2019-06-02 03:24:38,Adriana Coleman,2019-06-23 03:24:38
38,David Torrence,2019-06-02 04:25:31,John Gillispie,2019-06-26 04:25:31
39,Gloria Nava,2019-06-03 05:55:32,Adriana Coleman,2019-06-26 05:55:32
40,Gregory Isaacs,2019-06-03 23:47:48,John Gillispie,2019-06-26 23:47:48
41,Daniel Elbert,2019-06-05 14:14:03,John Gillispie,2019-06-28 14:14:03
42,Blanche Robinson,2019-06-06 13:01:52,Rose Churchill,2019-06-30 13:01:52
43,William Aleman,2019-06-07 03:53:23,John Gillispie,2019-06-29 03:53:23
44,Edward Stein,2019-06-07 08:23:02,John Gillispie,2019-06-28 08:23:02
45,Pamela Jacobsen,2019-06-08 22:37:37,Adriana Coleman,2019-06-30 22:37:37
46,Brandon Schade,2019-06-09 06:43:20,Adriana Coleman,2019-07-03 06:43:20
47,Alvin Galindo,2019-06-13 12:28:00,Rose Churchill,2019-07-07 12:28:00
48,Sandra Romero,2019-06-16 19:53:30,Rose Churchill,2019-07-10 19:53:30
