,Creator,start_date,Employee,end_date
0,Henry Smith,2019-01-16 00:56:15,Marlene Grice,2019-02-20 00:56:15
1,Patti Martinez,2019-01-18 21:49:39,Noah Balentine,2019-01-31 21:49:39
2,Jenny Harrison,2019-01-19 10:30:55,Marlene Grice,2019-02-06 10:30:55
3,Stephen Bartley,2019-01-23 00:19:23,Judith Laxson,2019-02-27 00:19:23
4,Dennis Lawrence,2019-01-23 04:38:27,Noah Balentine,2019-02-18 04:38:27
5,Mark Cowell,2019-01-25 20:47:28,Kenneth Fluellen,2019-03-09 20:47:28
6,Carolyn Morello,2019-01-29 13:15:17,Norma Farmer,2019-02-28 13:15:17
7,Jane Smith,2019-02-01 06:16:16,Norma Farmer,2019-03-05 06:16:16
8,Anthony Wright,2019-02-01 12:44:24,Felipe Seals,2019-02-11 12:44:24
9,David Terry,2019-02-02 07:34:44,Virginia Williams,2019-03-04 07:34:44
10,James Wilson,2019-02-05 13:13:06,Norma Farmer,2019-03-01 13:13:06
11,Monica Marchetti,2019-02-13 08:47:22,Deborah Hurley,2019-02-24 08:47:22
12,Davida Mattera,2019-02-13 13:45:28,Jeffrey Lyon,2019-03-30 13:45:28
13,Joseph Abraham,2019-02-15 08:42:22,Leslie Harris,2019-02-25 08:42:22
14,Sally Williamson,2019-02-18 15:25:18,James Ryder,2019-04-06 15:25:18
15,James Duryea,2019-02-21 17:26:11,Marlene Grice,2019-04-06 17:26:11
16,Irma Kieff,2019-02-24 09:33:40,Darryl Kirkwood,2019-03-09 09:33:40
17,Joseph Hughes,2019-02-26 03:50:15,Paul Therrien,2019-03-17 03:50:15
18,Pauline Coburn,2019-03-01 20:41:07,Jeffrey Lyon,2019-04-05 20:41:07
19,Willie Freeman,2019-03-02 13:00:17,Judith Laxson,2019-03-30 13:00:17
20,Betty Espinosa,2019-03-04 13:40:30,Norma Farmer,2019-04-19 13:40:30
21,Douglas Fonceca,2019-03-04 22:41:12,Norma Farmer,2019-03-16 22:41:12
22,Russell Palermo,2019-03-07 04:00:10,James Ryder,2019-03-25 04:00:10
23,Tom Lambert,2019-03-09 16:57:35,Judith Laxson,2019-04-18 16:57:35
24,Gregory Isaacs,2019-03-14 23:47:48,Judith Laxson,2019-04-28 23:47:48
25,Herbert Schuetz,2019-03-18 10:50:02,Kenneth Fluellen,2019-05-03 10:50:02
26,Nathan Pullen,2019-03-19 05:08:14,Paul Therrien,2019-04-04 05:08:14
27,Nancy Yu,2019-03-23 07:00:48,Thelma Ryan,2019-05-03 07:00:48
28,Jennifer Nikas,2019-03-24 03:11:07,Virginia Williams,2019-04-18 03:11:07
29,Willie Mallon,2019-03-25 07:52:29,Noah Balentine,2019-04-12 07:52:29
30,Wilbert Parker,2019-03-26 04:45:16,Deborah Hurley,2019-05-09 04:45:16
31,Jo Faust,2019-03-26 17:10:15,Rachel Laudat,2019-05-11 17:10:15
32,Brandon Schade,2019-03-29 06:43:20,Thelma Ryan,2019-05-06 06:43:20
33,Nancy Woods,2019-03-30 07:58:21,Norma Farmer,2019-04-22 07:58:21
34,Margaret White,2019-04-03 01:28:16,Rachel Laudat,2019-04-26 01:28:16
35,Alvin Galindo,2019-04-04 12:28:00,James Ryder,2019-05-17 12:28:00
36,Ricky Deckman,2019-04-07 09:21:22,James Ryder,2019-05-21 09:21:22
37,Robert Prosser,2019-04-07 23:39:50,Felipe Seals,2019-04-29 23:39:50
38,Gloria Nava,2019-04-08 05:55:32,Judith Laxson,2019-05-06 05:55:32
39,David Torrence,2019-04-09 04:25:31,Leslie Harris,2019-05-09 04:25:31
40,Therese Medrano,2019-04-09 12:26:57,Virginia Williams,2019-05-21 12:26:57
41,Sheila Smith,2019-04-11 10:22:25,Deborah Hurley,2019-05-14 10:22:25
42,Bret Mackay,2019-04-11 15:38:11,Felipe Seals,2019-04-27 15:38:11
43,James Bridges,2019-04-12 03:24:38,Felipe Seals,2019-04-25 03:24:38
44,Blanche Robinson,2019-04-14 13:01:52,Leslie Harris,2019-05-26 13:01:52
