,Creator,start_date,Employee,end_date
0,Patti Martinez,2019-01-02 21:49:39,Cassandra Salamanca,2019-01-14 21:49:39
1,Henry Smith,2019-01-05 00:56:15,Frederick Krol,2019-01-13 00:56:15
2,David Terry,2019-01-06 07:34:44,Fredrick Elfrink,2019-02-01 07:34:44
3,Jenny Harrison,2019-01-07 10:30:55,Jane Richardson,2019-01-16 10:30:55
4,Carolyn Morello,2019-01-07 13:15:17,Bruce Gulley,2019-01-27 13:15:17
5,Mark Cowell,2019-01-07 20:47:28,Sarah Ayers,2019-01-24 20:47:28
6,Jane Smith,2019-01-09 06:16:16,Betty Workman,2019-01-31 06:16:16
7,Anthony Wright,2019-01-10 12:44:24,Jane Richardson,2019-01-30 12:44:24
8,Stephen Bartley,2019-01-12 00:19:23,Cassandra Salamanca,2019-01-19 00:19:23
9,James Wilson,2019-01-16 13:13:06,Sarah Ayers,2019-02-04 13:13:06
10,Dennis Lawrence,2019-01-18 04:38:27,Frederick Krol,2019-01-21 04:38:27
11,Joseph Abraham,2019-01-20 08:42:22,Eddie Rivera,2019-02-11 08:42:22
12,Davida Mattera,2019-01-22 13:45:28,Frederick Krol,2019-02-09 13:45:28
13,Sally Williamson,2019-01-25 15:25:18,Frederick Krol,2019-02-14 15:25:18
14,Monica Marchetti,2019-01-26 08:47:22,Cassandra Salamanca,2019-02-11 08:47:22
15,Betty Espinosa,2019-01-31 13:40:30,Fredrick Elfrink,2019-02-28 13:40:30
16,Joseph Hughes,2019-02-03 03:50:15,Betty Workman,2019-02-25 03:50:15
17,James Duryea,2019-02-03 17:26:11,Bruce Gulley,2019-02-17 17:26:11
18,Pauline Coburn,2019-02-05 20:41:07,Frederick Krol,2019-02-26 20:41:07
19,Gregory Isaacs,2019-02-11 23:47:48,Nichole Lockett,2019-03-12 23:47:48
20,Willie Freeman,2019-02-12 13:00:17,Sarah Ayers,2019-02-26 13:00:17
21,Irma Kieff,2019-02-17 09:33:40,Bruce Gulley,2019-02-20 09:33:40
22,Nancy Yu,2019-02-23 07:00:48,Sarah Ayers,2019-03-19 07:00:48
23,Tom Lambert,2019-02-24 16:57:35,Nichole Lockett,2019-03-06 16:57:35
24,Douglas Fonceca,2019-02-24 22:41:12,Gilberto Delossantos,2019-02-28 22:41:12
25,Nathan Pullen,2019-02-25 05:08:14,Jane Richardson,2019-03-17 05:08:14
26,Jo Faust,2019-02-27 17:10:15,Eddie Rivera,2019-03-23 17:10:15
27,Russell Palermo,2019-02-28 04:00:10,Gilberto Delossantos,2019-03-05 04:00:10
28,Herbert Schuetz,2019-03-02 10:50:02,Nichole Lockett,2019-03-14 10:50:02
29,Wilbert Parker,2019-03-04 04:45:16,Gilberto Delossantos,2019-03-24 04:45:16
30,Jennifer Nikas,2019-03-05 03:11:07,Betty Workman,2019-03-23 03:11:07
